# Particle centroids in pixel units
# Particle radii - half of the average of the major and minor diameters of an ellipse fit to the particle area
# total particles: 3676
# mean radius: 3.2 Std.Dev. 0.14 (nm), 9.3 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
3.9374e+01	1.4514e+02	3.2676e+00
2.4676e+02	1.4417e+02	3.0928e+00
3.2520e+02	1.4160e+02	3.2301e+00
8.0361e+02	1.4375e+02	3.0517e+00
1.1501e+03	1.4275e+02	3.2160e+00
4.7609e+02	1.4500e+02	3.3743e+00
7.7883e+02	1.4546e+02	3.1361e+00
9.7576e+02	1.4587e+02	3.3544e+00
1.1242e+03	1.4476e+02	3.0919e+00
1.2452e+03	1.4531e+02	2.9910e+00
1.3410e+03	1.4699e+02	3.2772e+00
2.7412e+02	1.4447e+02	3.2393e+00
4.4893e+02	1.4678e+02	3.2960e+00
7.2670e+02	1.4742e+02	3.2032e+00
7.5265e+02	1.4666e+02	3.4168e+00
1.2194e+03	1.4655e+02	3.4162e+00
9.4996e+02	1.4783e+02	3.1160e+00
1.9120e+02	1.4888e+02	3.3745e+00
4.2246e+02	1.4790e+02	3.1267e+00
6.7417e+02	1.4943e+02	3.1463e+00
6.9988e+02	1.4833e+02	3.2303e+00
9.2373e+02	1.4993e+02	3.3890e+00
1.0963e+03	1.4785e+02	3.0978e+00
2.1965e+02	1.4843e+02	3.3215e+00
3.9551e+02	1.5010e+02	3.3400e+00
8.9622e+02	1.5091e+02	3.1473e+00
1.3159e+03	1.4937e+02	3.0755e+00
1.6324e+02	1.5149e+02	3.5922e+00
5.4313e+02	1.5381e+02	3.4513e+00
1.0709e+03	1.5097e+02	3.4145e+00
1.1921e+03	1.5109e+02	3.1452e+00
3.6803e+02	1.5185e+02	3.2695e+00
5.6979e+02	1.5409e+02	3.1563e+00
1.0949e+02	1.5424e+02	3.4834e+00
1.3739e+02	1.5310e+02	3.1211e+00
3.4070e+02	1.5357e+02	3.3265e+00
5.9666e+02	1.5384e+02	3.1875e+00
6.2375e+02	1.5346e+02	3.2293e+00
6.4769e+02	1.5232e+02	2.9943e+00
8.6945e+02	1.5425e+02	3.2358e+00
8.4366e+02	1.5581e+02	3.2055e+00
8.2610e+01	1.5653e+02	3.2414e+00
3.1367e+02	1.5576e+02	3.0867e+00
1.0155e+03	1.5601e+02	3.3986e+00
1.0436e+03	1.5452e+02	2.8113e+00
1.1660e+03	1.5500e+02	2.9817e+00
1.2865e+03	1.5518e+02	2.8548e+00
1.1393e+03	1.5716e+02	3.4329e+00
1.2599e+03	1.5692e+02	3.1072e+00
2.6231e+02	1.5776e+02	3.1790e+00
2.8739e+02	1.5698e+02	3.4356e+00
5.1739e+02	1.5724e+02	3.3239e+00
7.9210e+02	1.5804e+02	3.2833e+00
8.1824e+02	1.5749e+02	3.2209e+00
4.9001e+02	1.5838e+02	3.1571e+00
9.9014e+02	1.5826e+02	3.1880e+00
5.4973e+01	1.5879e+02	3.4403e+00
2.3427e+02	1.5935e+02	3.4811e+00
4.6290e+02	1.5934e+02	3.2515e+00
7.6641e+02	1.6024e+02	3.2567e+00
9.6356e+02	1.5984e+02	3.0220e+00
1.1125e+03	1.5948e+02	3.2648e+00
1.2322e+03	1.6008e+02	3.1696e+00
4.3633e+02	1.6111e+02	3.3053e+00
7.1368e+02	1.6121e+02	3.2072e+00
7.4086e+02	1.6068e+02	2.9969e+00
1.0855e+03	1.6149e+02	3.2022e+00
2.0550e+02	1.6123e+02	3.3563e+00
6.8789e+02	1.6258e+02	3.2524e+00
